#,generated_photo_link,product_name,brand,category,nano_banana_prompt,ingredients_text,nutrition_table_text,front_claims,source_url,notes,claim_1_text,claim_1_answer,claim_1_hint,claim_2_text,claim_2_answer,claim_2_hint,claim_3_text,claim_3_answer,claim_3_hint,claim_4_text,claim_4_answer,claim_4_hint,claim_5_text,claim_5_answer,claim_5_hint,case_notes
1,https://res.cloudinary.com/dacuzjrcg/image/upload/v1773533223/5_onzzen.jpg,Tropican't Orange,PopsiCo,fruit drinks,"Orange juice carton, 'Tropican't' text, straw stabbed into an orange.","Water, Concentrated Orange Juice","Energy: 43 kcal, Protein: 0.7g, Carbohydrate: 10g, Natural Sugar: 10g (per 100ml)","100% Juice, No Added Sugar",https://www.tropicana.com/,Parody of Tropicana,“100% Juice” and “No Added Sugar” can both be true at the same time.,TRUE,Juice can have natural sugar even without added sugar.,Natural sugar means the drink has no sugar at all.,FALSE,Natural sugar is still sugar.,"The front of this pack sounds very clean, but the ingredient list tells a fuller story.",TRUE,Two positive front claims do not always give the full picture.,"Concentrated orange juice is still orange juice, but it is not the same as eating an orange.",TRUE,Juice and whole fruit are not the same thing.,This is exactly the same as water with orange taste.,FALSE,"It has juice and natural sugar, not just flavored water.",This one is tricky because no added sugar can still mean lots of natural sugar.
2,https://res.cloudinary.com/dacuzjrcg/image/upload/v1773533216/13_sp5hjk.jpg,Bad Day Cashew,Brittany,biscuits,"Blue foil wrapper, 'Bad Day' logo, cashew cookies with smile texture.","Refined Wheat Flour, Sugar, Edible Vegetable Oil, Cashew Nuts, Milk Solids","Energy: 498 kcal, Protein: 7g, Carbohydrate: 68g, Fat: 22g (per 100g)",Abundance of Cashews,https://britannia.co.in/brands/good-day,Parody of Good Day,“Abundance of Cashews” does not mean cashew is the main ingredient.,TRUE,The front can zoom in on one special ingredient.,"This biscuit starts with refined wheat flour, not cashew.",TRUE,That is a key clue.,"Because it has nuts, it must be low in fat.",FALSE,This one is actually quite rich.,"The biscuit is mostly made of wheat flour and sugar, even though cashew gets the spotlight on the front.",TRUE,The first ingredient on the back tells you what the product is mostly made of.,The word abundance tells the exact cashew percentage.,FALSE,"It sounds big, but it is not a number.","Cashews are the hero on the front, but not the main base on the back."
3,https://res.cloudinary.com/dacuzjrcg/image/upload/v1773533221/27_cxy0sy.jpg,Crunchy Muesli,Baggers,breakfast cereals,"Green stand-up pouch, 'Baggers' logo, bowl of wholesome grains.","Rolled Oats, Whole Wheat Flakes, Invert Syrup, Almonds, Raisins, Honey","Energy: 404 kcal, Protein: 9.6g, Carbohydrate: 74g, Fat: 7g (per 100g)","No Artificial Flavors, High Fibre",https://bagrrys.com/,Parody of Bagrry's,“No Artificial Flavors” does not tell you how much sweet stuff is inside.,TRUE,"That line is about flavor type, not sugar.","This pack has oats and whole wheat flakes, but also sweet ingredients like syrup or honey.",TRUE,Mixed clues make it tricky.,"If raisins are in the list, the pack can never be sweetened further.",FALSE,It can still have syrup or honey.,The ingredient list shows both healthy grains and added sweeteners like syrup together.,TRUE,The front highlights the good parts. The back shows the full mix.,High fibre means you never need to check the rest.,FALSE,"Fibre is good, but not the full answer.",A pack can have fibre and also have syrup or honey. Mixed clues need mixed thinking.
4,https://res.cloudinary.com/dacuzjrcg/image/upload/v1773533222/11_a03y19.jpg,Kisse Squash,HULL,fruit drinks,"Tall glass bottle, orange syrup, 'Kisse' label with fruit basket.","Sugar, Water, Orange Juice, Acidity Regulator (330), Preservative (211)","Energy: 236 kcal, Carbohydrate: 59g, Sugar: 58g (per 100ml)",Made with Real Fruits,https://www.hul.co.in/brands/food-and-drink/kissan/,Parody of Kissan,“Made with Real Fruits” can still sit on a very sweet squash.,TRUE,Real fruit and lots of sugar can live together.,This product is already strong and usually gets mixed before drinking.,TRUE,Squash is not always used straight from the bottle.,"Because it has fruit juice, the sugar number cannot be high.",FALSE,Fruit and high sugar can be together.,The back label matters extra here because the bottle is a concentrate-style drink.,TRUE,You need context to judge it.,"The main thing to check on this squash is the salt, not the sugar.",FALSE,Sugar appears before salt in the ingredient list. Sweetness is the bigger clue here.,Squash is strong and sweet. Read the back before judging the front fruit talk.
5,https://res.cloudinary.com/dacuzjrcg/image/upload/v1773533221/25_tlwzkp.jpg,Muesli Nuts,Kell's,breakfast cereals,"Yellow and green box, 'Muesli' text, splash of milk with almonds and raisins.","Multigrain (Wheat, Corn, Rice, Oats), Dry Fruits & Nuts, Sugar, Honey","Energy: 405 kcal, Protein: 8.5g, Carbohydrate: 77g, Fat: 5.5g (per 100g)","High in Iron, Multigrain Power",https://www.kelloggs.in/en_IN/brands/muesli.html,Parody of Kellogg's Muesli,"“Multigrain Power” tells you there are many grains, not that the pack is low sugar.",TRUE,Multigrain is not a sugar promise.,"Nuts and dry fruits sound healthy, but sugar and honey still matter.",TRUE,Healthy-sounding packs can still be sweet.,This muesli is made only from nuts.,FALSE,Grains lead the story here.,"To judge this pack fairly, you need to look at the grains, the nuts, and the sugar together.",TRUE,No single clue tells the whole story by itself.,"The word power is just branding, not a nutrition number.",TRUE,"It sounds cool, but proves nothing.",Muesli can look super healthy. Honey and sugar can still sneak into the mix.
6,https://res.cloudinary.com/dacuzjrcg/image/upload/v1773533212/8_skrrus.jpg,Hour Maid Pulpy,Choco-Cola,fruit drinks,"Clear bottle, orange juice with visible pulp, 'Hour Maid' logo.","Water, Sugar, Orange Juice, Orange Pulp, Acidity Regulator (330)","Energy: 48 kcal, Carbohydrate: 12g, Added Sugar: 10g (per 100ml)",With Real Orange Pulp,https://www.coca-colaindia.com/brands/minute-maid,Parody of Minute Maid,“With Real Orange Pulp” can be true even if sugar is added too.,TRUE,Pulp and sugar can both show up.,Seeing pulp means the drink must be mostly orange juice.,FALSE,A little pulp can still look impressive on the front.,"This label gives you at least three clues: sugar, juice, and pulp.",TRUE,All three help solve the case.,The word “real” is proof that this is an everyday drink.,FALSE,Real does not automatically mean everyday.,The word pulp on the front can make this drink sound more fruity than the ingredient list shows.,TRUE,One attention-grabbing word on the front can distract from what the rest of the label says.,Pulp looks exciting on the front. The back tells how much the drink leans on sugar too.
7,https://res.cloudinary.com/dacuzjrcg/image/upload/v1773533223/4_u9lgtp.jpg,Fake Fruit Power Mixed Fruit,Dabber,fruit drinks,"Green tetra pak, 'Fake Fruit Power' logo, medley of fruits at bottom.","Water, Mixed Fruit Concentrate, Sugar","Energy: 56 kcal, Carbohydrate: 14g, Added Sugar: 8g (per 100ml)",No Added Preservatives,https://www.dabur.com/in/en-us/products/real-fruit-power,Parody of Real,“No Added Preservatives” does not mean “low sugar.”,TRUE,A pack can skip preservatives and still be sweet.,"This drink uses mixed fruit concentrate, not a giant bowl of fresh fruit.",TRUE,Concentrate is a clue worth noticing.,"If preservatives are missing, the drink must be perfect for every day.",FALSE,You still need to check fruit and sugar.,A short ingredient list can still contain important clues about sugar and fruit content.,TRUE,Short does not mean simple.,The sugar content is a bigger concern here than the no preservatives claim on the front.,TRUE,No preservatives and low sugar are different things. One does not tell you about the other.,No preservatives is only one clue. Fruit and sugar still need checking.
8,https://res.cloudinary.com/dacuzjrcg/image/upload/v1773533217/28_gd5l9u.jpg,Masala Oats,Soffa,breakfast cereals,"Orange packet, 'Soffa' text, bowl of spicy steaming oats with vegetables.","Rolled Oats, Spices & Condiments, Salt, Maltodextrin, Dried Vegetables","Energy: 390 kcal, Protein: 10g, Carbohydrate: 68g, Fat: 8g (per 100g)","Ready in 3 minutes, High Fibre",https://saffola.marico.in/,Parody of Saffola,"“Ready in 3 minutes” is a speed clue, not a health clue.",TRUE,Fast food and healthy food are different questions.,This pack is more about oats plus masala mix than plain oats alone.,TRUE,Condiments and extras are part of it.,"Because it says high fibre, salt stops mattering.",FALSE,Salt can still matter a lot.,This pack can have good fibre and still have a high salt content at the same time.,TRUE,A pack can score well on fibre and still have a lot of salt. Both numbers matter.,"The front of this pack focuses on cooking speed, while the back shows what the product is actually made of.",TRUE,How fast something cooks is not a guide to what it contains.,Fast cooking and high fibre are not the full story. Savory packs need salt checks too.
9,https://res.cloudinary.com/dacuzjrcg/image/upload/v1773533218/22_pnzrui.jpg,Omnibic Choco,Omnibic,biscuits,"Red wrapper, 'Omnibic' logo, large wire-cut chocolate chip cookies.","Wheat Flour, Choco Chips, Sugar, Edible Vegetable Oil, Cocoa Powder","Energy: 495 kcal, Protein: 5.5g, Carbohydrate: 68g, Fat: 22g (per 100g)",More Choco Chips,https://unibicfoods.com/,Parody of Unibic,"“More Choco Chips” tells you there are chips, not that the biscuit is mostly chocolate.",TRUE,More than what? It is still not the main base.,"This pack would be smart to judge by flour, sugar, oil, and chips together.",TRUE,One clue alone is not enough.,"Because the chips are bigger on front, they must be first on the back.",FALSE,Big picture does not mean first ingredient.,Checking both the chocolate amount and the flour position gives a clearer picture of this biscuit.,TRUE,Flour usually leads the ingredient list even when chocolate is the main selling point on the front.,The front image is enough proof by itself.,FALSE,Never enough.,"Front says more choco. Back reminds you flour, sugar, and oil still run the show."
10,https://res.cloudinary.com/dacuzjrcg/image/upload/v1773533217/21_zbe08w.jpg,Milk Bikes,Brittany,biscuits,"White and blue wrapper, 'Milk Bikes' text, round biscuits with smiley face.","Wheat Flour, Sugar, Edible Vegetable Oil, Milk Solids, Liquid Glucose","Energy: 448 kcal, Protein: 7g, Carbohydrate: 74g, Fat: 14g (per 100g)","Milk Goodness, Source of Calcium",https://britannia.co.in/brands/milk-bikis,Parody of Milk Bikis,“Milk Goodness” does not turn a biscuit into a milk drink.,TRUE,It is still a biscuit.,"Milk solids are present, but flour and sugar still matter more.",TRUE,Order helps you see that.,"If a pack says calcium, you can stop reading there.",FALSE,One good thing is not the whole story.,"The word milk on the front sounds like a health claim, but flour and sugar still lead the ingredient list.",TRUE,"Milk-themed language is a selling point, not proof of what the product is mostly made of.",Liquid glucose is another sweet clue on this pack.,TRUE,It adds to the sugar story.,Milk words can make a biscuit sound stronger than it really is.
